Employee ID,Employee Name,Department,Gross Pay,Employer FICA,Employer Medicare,Employer FUTA,Employer SUTA,401k Employee,Employer 401k Match,Health Employee,Federal Withholding,State Withholding,Net Pay
EE100,Avery Chen,Sales,1400.0,86.8,20.3,8.4,19.6,0,0.0,45.0,154.0,63.0,1138.0
EE101,Blake Nguyen,Operations,1437.5,89.12,20.84,8.62,20.12,43.12,21.56,0,158.12,64.69,1171.57
EE102,Casey Rivera,Admin,1475.0,91.45,21.39,8.85,20.65,44.25,22.12,0,162.25,66.38,1202.12
EE103,Dana Okafor,Sales,1512.5,93.78,21.93,9.08,21.18,45.38,22.69,45.0,166.38,68.06,1187.68
EE104,Elliot Brooks,Operations,1550.0,96.1,22.48,9.3,21.7,0,0.0,0,170.5,69.75,1309.75
EE105,Frankie Silva,Admin,1587.5,98.42,23.02,9.53,22.23,47.62,23.81,0,174.62,71.44,1293.82
EE106,Gray Patel,Sales,1625.0,100.75,23.56,9.75,22.75,48.75,24.38,45.0,178.75,73.12,1279.38
EE107,Harper Lund,Operations,1662.5,103.08,24.11,9.97,23.28,49.88,24.94,0,182.88,74.81,1354.93
EE108,Iris Novak,Admin,1700.0,105.4,24.65,10.2,23.8,0,0.0,0,187.0,76.5,1436.5
EE109,Jules Bianchi,Sales,1737.5,107.72,25.19,10.43,24.32,52.12,26.06,45.0,191.12,78.19,1371.07
EE110,Kai Thompson,Operations,1775.0,110.05,25.74,10.65,24.85,53.25,26.62,0,195.25,79.88,1446.62
EE111,Lane Whitfield,Admin,1812.5,112.38,26.28,10.88,25.38,54.38,27.19,0,199.38,81.56,1477.18
EE112,Morgan Reyes,Sales,1850.0,114.7,26.83,11.1,25.9,0,0.0,45.0,203.5,83.25,1518.25
EE113,Noor Haddad,Operations,1887.5,117.03,27.37,11.33,26.43,56.62,28.31,0,207.62,84.94,1538.32
EE114,Oakley Vance,Admin,1925.0,119.35,27.91,11.55,26.95,57.75,28.88,0,211.75,86.62,1568.88
EE115,Parker Sung,Sales,1962.5,121.67,28.46,11.78,27.48,58.88,29.44,45.0,215.88,88.31,1554.43
EE116,Quinn Delacroix,Operations,2000.0,124.0,29.0,12.0,28.0,0,0.0,0,220.0,90.0,1690.0
EE117,Riley Osei,Admin,2037.5,126.33,29.54,12.22,28.53,61.12,30.56,0,224.12,91.69,1660.57
EE118,Sage Falk,Sales,2075.0,128.65,30.09,12.45,29.05,62.25,31.12,45.0,228.25,93.38,1646.12
EE119,Toby Marchetti,Operations,2112.5,130.97,30.63,12.68,29.57,63.38,31.69,0,232.38,95.06,1721.68
