"Fixture Accounting Suite Payroll Summary (invented, fixture only)"
Pay Period 09/01/2026 - 09/14/2026
""
Wages,Avery Chen,Blake Nguyen,Casey Rivera,Dana Okafor,Elliot Brooks,Frankie Silva,Gray Patel,Harper Lund,Iris Novak,Jules Bianchi
Regular Pay,1400.0,1437.5,1475.0,1512.5,1550.0,1587.5,1625.0,1662.5,1700.0,1737.5
""
Employer Taxes,Avery Chen,Blake Nguyen,Casey Rivera,Dana Okafor,Elliot Brooks,Frankie Silva,Gray Patel,Harper Lund,Iris Novak,Jules Bianchi
FICA,86.8,89.12,91.45,93.78,96.1,98.42,100.75,103.08,105.4,107.72
Medicare,20.3,20.84,21.39,21.93,22.48,23.02,23.56,24.11,24.65,25.19
FUTA,8.4,8.62,8.85,9.08,9.3,9.53,9.75,9.97,10.2,10.43
SUTA,19.6,20.12,20.65,21.18,21.7,22.23,22.75,23.28,23.8,24.32
""
Deductions,Avery Chen,Blake Nguyen,Casey Rivera,Dana Okafor,Elliot Brooks,Frankie Silva,Gray Patel,Harper Lund,Iris Novak,Jules Bianchi
401k Employee,0,43.12,44.25,45.38,0,47.62,48.75,49.88,0,52.12
Health Employee,45.0,0,0,45.0,0,0,45.0,0,0,45.0
